classifier,datatype,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,methodtype,dataset,classlabels
KNN,Quaternion,0.006996393203735352,0,0.1111435890197754,0.5333333333333333,0.5277055873011383,0.5371624852550952,0.5333333333333333,fbc,IMT,videos
KNN,Quaternion,0.01030898094177246,1,0.16347098350524902,0.4712643678160919,0.4622883243232795,0.4832323232323232,0.4712643678160919,fbc,IMT,videos
KNN,Quaternion,0.00720524787902832,2,0.11450910568237305,0.5586206896551724,0.5523667470621548,0.5551229554545026,0.5586206896551724,fbc,IMT,videos
KNN,Quaternion,0.009796380996704102,3,0.12874794006347656,0.5057471264367817,0.4991875702618123,0.5126419254231354,0.5057471264367817,fbc,IMT,videos
KNN,Quaternion,0.006891965866088867,4,0.11209678649902344,0.496551724137931,0.4891129318744565,0.4955537979451023,0.496551724137931,fbc,IMT,videos
KNN,Quaternion,0.007366657257080078,5,0.11019062995910643,0.496551724137931,0.4919762763829879,0.5091722087357049,0.496551724137931,fbc,IMT,videos
KNN,Quaternion,0.007435321807861328,6,0.11408758163452147,0.503448275862069,0.4973194397354401,0.5122154158143023,0.503448275862069,fbc,IMT,videos
KNN,Quaternion,0.00730156898498535,7,0.11063504219055176,0.5126436781609195,0.5064954796699601,0.5133513708513708,0.5126436781609195,fbc,IMT,videos
KNN,Quaternion,0.00810861587524414,8,0.11390829086303712,0.4873563218390805,0.4805905606886621,0.4890899935549489,0.4873563218390805,fbc,IMT,videos
KNN,Quaternion,0.007686138153076172,9,0.11308979988098145,0.4896551724137931,0.4839250598922822,0.4942106563188572,0.4896551724137931,fbc,IMT,videos
KNN,Quaternion,0.007245302200317383,10,0.11336064338684082,0.4689655172413793,0.4648074517612066,0.4823463186506665,0.4689655172413794,fbc,IMT,videos
KNN,Quaternion,0.017421960830688477,11,0.13795852661132812,0.5057471264367817,0.5016338225629242,0.5148265438381172,0.5057471264367817,fbc,IMT,videos
KNN,Quaternion,0.012787103652954102,12,0.12193012237548828,0.4482758620689655,0.4438854756647629,0.4580687526760753,0.4482758620689655,fbc,IMT,videos
KNN,Quaternion,0.007967710494995117,13,0.11331057548522948,0.4919540229885058,0.4838388729100021,0.49826743717028604,0.4919540229885057,fbc,IMT,videos
KNN,Quaternion,0.012375354766845705,14,0.12572646141052246,0.4804597701149425,0.4728063384257094,0.4888074757908738,0.4804597701149426,fbc,IMT,videos
KNN,Quaternion,0.008127450942993164,15,0.1166086196899414,0.4597701149425287,0.4527463122817792,0.4618364711463807,0.4597701149425288,fbc,IMT,videos
KNN,Quaternion,0.010803937911987305,16,0.13565373420715332,0.5540229885057472,0.5483471520644181,0.5668179723722837,0.554022988505747,fbc,IMT,videos
KNN,Quaternion,0.007827997207641602,17,0.11177206039428712,0.4942528735632184,0.4855448448740882,0.4936642961103702,0.4942528735632184,fbc,IMT,videos
KNN,Quaternion,0.007803916931152344,18,0.10814905166625977,0.4712643678160919,0.4637848369517282,0.4744985272651444,0.4712643678160919,fbc,IMT,videos
KNN,Quaternion,0.007586479187011719,19,0.1107795238494873,0.5287356321839081,0.5176173979030552,0.5277777777777778,0.528735632183908,fbc,IMT,videos
DT,Quaternion,2.7215206623077397,0,0.007239818572998047,0.4850574712643678,0.484396979162917,0.4861682300121449,0.4850574712643678,fbc,IMT,videos
DT,Quaternion,2.188753604888916,1,0.006959438323974609,0.4551724137931034,0.4534555582156665,0.4530845719364501,0.4551724137931034,fbc,IMT,videos
